
--------  PARSING

All theorems are syntactically and grammatically correct.


--------  PROVING

Theorem 1 is valid.
Theorem 261 is not valid.
Theorem 262 is not valid.
Theorem 263 is not valid.
Theorem 264 is not valid.
Theorem 265 is valid.
Theorem 266 is not valid.
Theorem 267 is not valid.
Theorem 268 is not valid.
Theorem 269 is not valid.
Theorem 270 is not valid.
Theorem 271 is not valid.
Theorem 272 is not valid.
Theorem 273 is not valid.
Theorem 274 is not valid.
Theorem 275 is not valid.
Theorem 276 is not valid.
Theorem 277 is not valid.
Theorem 278 is not valid.
Theorem 279 is not valid.
Theorem 280 is not valid.
Theorem 281 is not valid.
Theorem 282 is not valid.
Theorem 283 is not valid.
Theorem 284 is not valid.
Theorem 285 is not valid.
Theorem 286 is not valid.
Theorem 287 is not valid.
Theorem 288 is not valid.
Theorem 289 is not valid.
Theorem 290 is not valid.
Theorem 291 is not valid.
Theorem 292 is not valid.
Theorem 293 is not valid.
Theorem 294 is not valid.
Theorem 295 is not valid.
Theorem 296 is not valid.
Theorem 297 is not valid.
Theorem 298 is not valid.
Theorem 299 is not valid.
Theorem 300 is not valid.
Theorem 301 is not valid.
Theorem 302 is not valid.
Theorem 303 is not valid.
Theorem 304 is not valid.
Theorem 305 is not valid.
Theorem 306 is not valid.
Theorem 307 is not valid.
Theorem 308 is not valid.
Theorem 309 is not valid.
Theorem 310 is not valid.
Theorem 311 is not valid.
Theorem 312 is not valid.
Theorem 313 is not valid.
Theorem 314 is not valid.
Theorem 315 is not valid.
Theorem 316 is not valid.
Theorem 317 is not valid.
Theorem 318 is not valid.
Theorem 319 is not valid.
Theorem 320 is not valid.
Theorem 321 is not valid.
Theorem 322 is not valid.
Theorem 323 is not valid.
Theorem 324 is not valid.
Theorem 325 is not valid.
Theorem 326 is not valid.
Theorem 327 is valid.
Theorem 328 is not valid.
Theorem 329 is not valid.
Theorem 330 is not valid.
Theorem 331 is not valid.
Theorem 332 is not valid.
Theorem 333 is not valid.
Theorem 334 is not valid.
Theorem 335 is not valid.
Theorem 336 is not valid.
Theorem 337 is not valid.
Theorem 338 is not valid.
Theorem 339 is not valid.
Theorem 340 is not valid.
Theorem 341 is not valid.
Theorem 342 is not valid.
Theorem 343 is not valid.
Theorem 344 is not valid.
Theorem 345 is not valid.
Theorem 346 is not valid.
Theorem 347 is not valid.
Theorem 348 is not valid.
Theorem 349 is not valid.
Theorem 350 is not valid.
Theorem 351 is not valid.
Theorem 352 is not valid.
Theorem 353 is not valid.
Theorem 354 is not valid.
Theorem 355 is not valid.
Theorem 356 is not valid.
Theorem 357 is not valid.
Theorem 358 is not valid.
Theorem 359 is not valid.
Theorem 360 is not valid.
Theorem 361 is valid.
Theorem 362 is not valid.
Theorem 363 is not valid.
Theorem 364 is not valid.
Theorem 365 is not valid.
Theorem 366 is not valid.
Theorem 367 is not valid.
Theorem 368 is valid.
Theorem 369 is not valid.
Theorem 370 is not valid.
Theorem 371 is not valid.
Theorem 372 is not valid.
Theorem 373 is not valid.
Theorem 374 is not valid.
Theorem 375 is not valid.
Theorem 376 is not valid.
Theorem 377 is not valid.
Theorem 378 is not valid.
Theorem 379 is not valid.
Theorem 380 is not valid.
Theorem 381 is not valid.
Theorem 382 is not valid.
Theorem 383 is not valid.
Theorem 384 is not valid.
Theorem 385 is valid.
Theorem 386 is not valid.
Theorem 387 is not valid.
Theorem 388 is not valid.
Theorem 389 is not valid.
Theorem 390 is valid.
Theorem 391 is not valid.
Theorem 392 is not valid.
Theorem 393 is not valid.
Theorem 394 is not valid.
Theorem 395 is valid.
Theorem 396 is not valid.
Theorem 397 is not valid.
Theorem 398 is not valid.
Theorem 399 is not valid.
Theorem 400 is not valid.
Theorem 401 is not valid.
Theorem 402 is valid.
Theorem 403 is not valid.
Theorem 404 is not valid.
Theorem 405 is not valid.
Theorem 406 is not valid.
Theorem 407 is not valid.
Theorem 408 is not valid.
Theorem 409 is not valid.
Theorem 410 is not valid.
Theorem 411 is not valid.
Theorem 412 is not valid.
Theorem 413 is not valid.
Theorem 414 is not valid.
Theorem 415 is not valid.
Theorem 416 is not valid.
Theorem 417 is not valid.
Theorem 418 is not valid.
Theorem 419 is not valid.
Theorem 420 is valid.
Theorem 421 is not valid.
Theorem 422 is not valid.
Theorem 423 is not valid.
Theorem 424 is not valid.
Theorem 425 is not valid.
Theorem 426 is not valid.
Theorem 427 is not valid.
Theorem 428 is not valid.
Theorem 429 is not valid.
Theorem 430 is not valid.
Theorem 431 is valid.
Theorem 432 is not valid.
Theorem 433 is not valid.
Theorem 434 is not valid.
Theorem 435 is not valid.
Theorem 436 is not valid.
Theorem 437 is not valid.
Theorem 438 is not valid.
Theorem 439 is not valid.
Theorem 440 is not valid.
Theorem 441 is not valid.
Theorem 442 is not valid.
Theorem 443 is not valid.
Theorem 444 is not valid.
Theorem 445 is valid.
Theorem 446 is not valid.
Theorem 447 is not valid.
Theorem 448 is not valid.
Theorem 449 is not valid.
Theorem 450 is not valid.
Theorem 451 is not valid.
Theorem 452 is valid.
Theorem 453 is not valid.
Theorem 454 is not valid.
Theorem 455 is not valid.
Theorem 456 is not valid.
Theorem 457 is not valid.
Theorem 458 is not valid.
Theorem 459 is not valid.
Theorem 460 is not valid.
Theorem 461 is not valid.
Theorem 462 is not valid.
Theorem 463 is not valid.
Theorem 464 is not valid.
Theorem 465 is not valid.
Theorem 466 is not valid.
Theorem 467 is not valid.
Theorem 468 is not valid.
Theorem 469 is not valid.
Theorem 470 is not valid.
Theorem 471 is not valid.
Theorem 472 is not valid.
Theorem 473 is not valid.
Theorem 474 is not valid.
Theorem 475 is not valid.
Theorem 476 is valid.
Theorem 477 is not valid.
Theorem 478 is not valid.
Theorem 479 is not valid.
Theorem 480 is not valid.
Theorem 481 is not valid.
Theorem 482 is not valid.
Theorem 483 is not valid.
Theorem 484 is not valid.
Theorem 485 is not valid.
Theorem 486 is not valid.
Theorem 487 is not valid.
Theorem 488 is not valid.
Theorem 489 is not valid.
Theorem 490 is not valid.
Theorem 491 is valid.
Theorem 492 is not valid.
Theorem 493 is not valid.
Theorem 494 is not valid.
Theorem 495 is not valid.
Theorem 496 is not valid.
Theorem 497 is not valid.
Theorem 498 is valid.
Theorem 499 is not valid.
Theorem 500 is not valid.
Theorem 501 is not valid.
Theorem 502 is not valid.
Theorem 503 is not valid.
Theorem 504 is not valid.
Theorem 505 is valid.
Theorem 506 is not valid.
Theorem 507 is not valid.
Theorem 508 is not valid.
Theorem 509 is not valid.
Theorem 510 is not valid.
Theorem 511 is not valid.
Theorem 512 is not valid.
Theorem 513 is not valid.
Theorem 514 is valid.
Theorem 515 is valid.
Theorem 516 is not valid.
Theorem 517 is not valid.
Theorem 518 is not valid.
Theorem 519 is not valid.
Theorem 520 is not valid.
Theorem 521 is not valid.
Theorem 522 is not valid.
Theorem 523 is not valid.
Theorem 524 is valid.
Theorem 525 is not valid.
Theorem 526 is valid.
Theorem 527 is not valid.
Theorem 528 is not valid.
Theorem 529 is not valid.
Theorem 530 is not valid.
Theorem 531 is not valid.
Theorem 532 is not valid.
Theorem 533 is not valid.
Theorem 534 is not valid.
Theorem 535 is not valid.
Theorem 536 is not valid.
Theorem 537 is not valid.
Theorem 538 is not valid.
Theorem 539 is not valid.
Theorem 540 is not valid.
Theorem 541 is not valid.
Theorem 542 is not valid.
Theorem 543 is not valid.
Theorem 544 is not valid.
Theorem 545 is not valid.
Theorem 546 is not valid.
Theorem 547 is not valid.
Theorem 548 is not valid.
Theorem 549 is not valid.
Theorem 550 is not valid.
Theorem 551 is not valid.
Theorem 552 is not valid.
Theorem 553 is not valid.
Theorem 554 is not valid.
Theorem 555 is not valid.
Theorem 556 is not valid.
Theorem 557 is valid.
Theorem 558 is not valid.
Theorem 559 is valid.
Theorem 560 is not valid.
Theorem 561 is not valid.
Theorem 562 is not valid.
Theorem 563 is not valid.
Theorem 564 is not valid.
Theorem 565 is not valid.
Theorem 566 is not valid.
Theorem 567 is not valid.
Theorem 568 is valid.
Theorem 569 is not valid.
Theorem 570 is not valid.
Theorem 571 is not valid.
Theorem 572 is not valid.
Theorem 573 is not valid.
Theorem 574 is not valid.
Theorem 575 is valid.
Theorem 576 is not valid.
Theorem 577 is not valid.
Theorem 578 is not valid.
Theorem 579 is not valid.
Theorem 580 is not valid.
Theorem 581 is not valid.
Theorem 582 is not valid.
Theorem 583 is not valid.
Theorem 584 is valid.
Theorem 585 is not valid.
Theorem 586 is not valid.
Theorem 587 is not valid.
Theorem 588 is not valid.
Theorem 589 is not valid.
Theorem 590 is not valid.
Theorem 591 is not valid.
Theorem 592 is not valid.
Theorem 593 is not valid.
Theorem 594 is not valid.
Theorem 595 is not valid.
Theorem 596 is not valid.
Theorem 597 is not valid.
Theorem 598 is not valid.
Theorem 599 is not valid.
Theorem 600 is not valid.
Theorem 601 is not valid.
Theorem 602 is not valid.
Theorem 603 is not valid.
Theorem 604 is not valid.
Theorem 605 is not valid.
Theorem 606 is not valid.
Theorem 607 is not valid.
Theorem 608 is not valid.
Theorem 609 is valid.
Theorem 610 is not valid.
Theorem 611 is not valid.
Theorem 612 is not valid.
Theorem 613 is not valid.
Theorem 614 is not valid.
Theorem 615 is valid.
Theorem 616 is not valid.
Theorem 617 is not valid.
Theorem 618 is not valid.
Theorem 619 is not valid.
Theorem 620 is not valid.
Theorem 621 is not valid.
Theorem 622 is not valid.
Theorem 623 is not valid.
Theorem 624 is not valid.
Theorem 625 is not valid.
Theorem 626 is not valid.
Theorem 627 is not valid.
Theorem 628 is not valid.
Theorem 629 is not valid.
Theorem 630 is not valid.
Theorem 631 is not valid.
Theorem 632 is valid.
Theorem 633 is valid.
Theorem 634 is not valid.
Theorem 635 is not valid.
Theorem 636 is not valid.
Theorem 637 is not valid.
Theorem 638 is not valid.
Theorem 639 is not valid.
Theorem 640 is not valid.
Theorem 641 is not valid.
Theorem 642 is not valid.
Theorem 643 is not valid.
Theorem 644 is not valid.
Theorem 645 is not valid.
Theorem 646 is not valid.
Theorem 647 is not valid.
Theorem 648 is not valid.
Theorem 649 is not valid.
Theorem 650 is not valid.
Theorem 651 is not valid.
Theorem 652 is not valid.
Theorem 653 is not valid.
Theorem 654 is not valid.
Theorem 655 is not valid.
Theorem 656 is not valid.
Theorem 657 is valid.
Theorem 658 is not valid.
Theorem 659 is not valid.
Theorem 660 is not valid.
Theorem 661 is not valid.
Theorem 662 is not valid.
Theorem 663 is not valid.
Theorem 664 is not valid.
Theorem 665 is not valid.
Theorem 666 is not valid.
Theorem 667 is not valid.
Theorem 668 is not valid.
Theorem 669 is not valid.
Theorem 670 is not valid.
Theorem 671 is not valid.
Theorem 672 is not valid.
Theorem 673 is not valid.
Theorem 674 is not valid.
Theorem 675 is valid.
Theorem 676 is not valid.
Theorem 677 is not valid.
Theorem 678 is not valid.
Theorem 679 is not valid.
Theorem 680 is not valid.
Theorem 681 is not valid.
Theorem 682 is not valid.
Theorem 683 is not valid.
Theorem 684 is not valid.
Theorem 685 is not valid.
Theorem 686 is not valid.
Theorem 687 is valid.
Theorem 688 is valid.
Theorem 689 is not valid.
Theorem 690 is not valid.
Theorem 691 is not valid.
Theorem 692 is not valid.
Theorem 693 is not valid.
Theorem 694 is not valid.
Theorem 695 is not valid.
Theorem 696 is not valid.
Theorem 697 is not valid.
Theorem 698 is not valid.
Theorem 699 is not valid.
Theorem 700 is not valid.
Theorem 701 is not valid.
Theorem 702 is not valid.
Theorem 703 is not valid.
Theorem 704 is not valid.
Theorem 705 is not valid.
Theorem 706 is not valid.
Theorem 707 is not valid.
Theorem 708 is not valid.
Theorem 709 is not valid.
Theorem 710 is not valid.
Theorem 711 is not valid.
Theorem 712 is not valid.
Theorem 713 is not valid.
Theorem 714 is not valid.
Theorem 715 is not valid.
Theorem 716 is not valid.
Theorem 717 is not valid.
Theorem 718 is not valid.
Theorem 719 is not valid.
Theorem 720 is not valid.
Theorem 721 is not valid.
Theorem 722 is not valid.
Theorem 723 is not valid.
Theorem 724 is not valid.
Theorem 725 is valid.
Theorem 726 is not valid.
Theorem 727 is not valid.
Theorem 728 is not valid.
Theorem 729 is not valid.
Theorem 730 is not valid.
Theorem 731 is not valid.
Theorem 732 is not valid.
Theorem 733 is not valid.
Theorem 734 is not valid.
Theorem 735 is not valid.
Theorem 736 is not valid.
Theorem 737 is not valid.
Theorem 738 is not valid.
Theorem 739 is not valid.
Theorem 740 is not valid.
Theorem 741 is not valid.
Theorem 742 is not valid.
Theorem 743 is not valid.
Theorem 744 is not valid.
Theorem 745 is not valid.
Theorem 746 is not valid.
Theorem 747 is valid.
Theorem 748 is not valid.
Theorem 749 is not valid.
Theorem 750 is not valid.
Theorem 751 is not valid.
Theorem 752 is not valid.
Theorem 753 is not valid.
Theorem 754 is not valid.
Theorem 755 is not valid.
Theorem 756 is not valid.
Theorem 757 is not valid.
Theorem 758 is not valid.
Theorem 759 is not valid.
Theorem 760 is not valid.
Theorem 761 is not valid.
Theorem 762 is not valid.
Theorem 763 is not valid.
Theorem 764 is not valid.
Theorem 765 is not valid.
Theorem 766 is not valid.
Theorem 767 is not valid.
Theorem 768 is not valid.
Theorem 769 is not valid.
Theorem 770 is not valid.
Theorem 771 is not valid.
Theorem 772 is not valid.
Theorem 773 is not valid.
Theorem 774 is not valid.
Theorem 775 is not valid.
Theorem 776 is not valid.
Theorem 777 is not valid.
Theorem 778 is not valid.
Theorem 779 is not valid.
Theorem 780 is not valid.
Theorem 781 is not valid.
Theorem 782 is not valid.
Theorem 783 is not valid.
Theorem 784 is not valid.
Theorem 785 is valid.
Theorem 786 is not valid.
Theorem 787 is not valid.
Theorem 788 is not valid.
Theorem 789 is not valid.
Theorem 790 is not valid.
Theorem 791 is not valid.
Theorem 792 is not valid.
Theorem 793 is valid.
Theorem 794 is not valid.
Theorem 795 is not valid.
Theorem 796 is valid.
Theorem 797 is valid.
Theorem 798 is not valid.
Theorem 799 is not valid.
Theorem 800 is not valid.
Theorem 801 is not valid.
Theorem 802 is not valid.
Theorem 803 is not valid.
Theorem 804 is valid.
Theorem 805 is not valid.
Theorem 806 is not valid.
Theorem 807 is valid.
Theorem 808 is not valid.
Theorem 809 is not valid.
Theorem 810 is not valid.
Theorem 811 is not valid.
Theorem 812 is not valid.
Theorem 813 is not valid.
Theorem 814 is not valid.
Theorem 815 is not valid.
Theorem 816 is not valid.
Theorem 817 is not valid.
Theorem 818 is not valid.
Theorem 819 is not valid.
Theorem 820 is not valid.
Theorem 821 is not valid.
Theorem 822 is not valid.
Theorem 823 is not valid.
Theorem 824 is not valid.
Theorem 825 is not valid.
Theorem 826 is not valid.
Theorem 827 is not valid.
Theorem 828 is not valid.
Theorem 829 is not valid.
Theorem 830 is not valid.
Theorem 831 is not valid.
Theorem 832 is not valid.
Theorem 833 is valid.
Theorem 834 is not valid.
Theorem 835 is not valid.
Theorem 836 is not valid.
Theorem 837 is not valid.
Theorem 838 is not valid.
Theorem 839 is not valid.
Theorem 840 is not valid.
Theorem 841 is not valid.
Theorem 842 is not valid.
Theorem 843 is valid.
Theorem 844 is not valid.
Theorem 845 is not valid.
Theorem 846 is not valid.
Theorem 847 is not valid.
Theorem 848 is not valid.
Theorem 849 is not valid.
Theorem 850 is not valid.
Theorem 851 is not valid.
Theorem 852 is not valid.
Theorem 853 is not valid.
Theorem 854 is not valid.
Theorem 855 is not valid.
Theorem 856 is not valid.
Theorem 857 is not valid.
Theorem 858 is not valid.
Theorem 859 is not valid.
Theorem 860 is not valid.
Theorem 861 is not valid.
Theorem 862 is not valid.
Theorem 863 is not valid.
Theorem 864 is valid.
Theorem 865 is not valid.
Theorem 866 is valid.
Theorem 867 is valid.
Theorem 868 is not valid.
Theorem 869 is not valid.
Theorem 870 is not valid.
Theorem 871 is not valid.
Theorem 872 is not valid.
Theorem 873 is not valid.
Theorem 874 is not valid.
Theorem 875 is valid.
Theorem 876 is not valid.
Theorem 877 is not valid.
Theorem 878 is not valid.
Theorem 879 is not valid.
Theorem 880 is not valid.
Theorem 881 is not valid.
Theorem 882 is not valid.
Theorem 883 is not valid.
Theorem 884 is not valid.
Theorem 885 is not valid.
Theorem 886 is not valid.
Theorem 887 is not valid.
Theorem 888 is valid.
Theorem 889 is not valid.
Theorem 890 is not valid.
Theorem 891 is not valid.
Theorem 892 is not valid.
Theorem 893 is not valid.
Theorem 894 is not valid.
Theorem 895 is not valid.
Theorem 896 is not valid.
Theorem 897 is valid.
Theorem 898 is not valid.
Theorem 899 is not valid.
Theorem 900 is not valid.
Theorem 901 is not valid.
Theorem 902 is not valid.
Theorem 903 is not valid.
Theorem 904 is not valid.
Theorem 905 is not valid.
Theorem 906 is not valid.
Theorem 907 is valid.
Theorem 908 is not valid.
Theorem 909 is not valid.
Theorem 910 is not valid.
Theorem 911 is not valid.
Theorem 912 is not valid.
Theorem 913 is valid.
Theorem 914 is not valid.
Theorem 915 is valid.
Theorem 916 is not valid.
Theorem 917 is not valid.
Theorem 918 is not valid.
Theorem 919 is not valid.
Theorem 920 is not valid.
Theorem 921 is not valid.
Theorem 922 is not valid.
Theorem 923 is not valid.
Theorem 924 is not valid.
Theorem 925 is not valid.
Theorem 926 is not valid.
Theorem 927 is not valid.
Theorem 928 is not valid.
Theorem 929 is not valid.
Theorem 930 is not valid.
Theorem 931 is not valid.
Theorem 932 is not valid.
Theorem 933 is valid.
Theorem 934 is not valid.
Theorem 935 is not valid.
Theorem 936 is not valid.
Theorem 937 is not valid.
Theorem 938 is not valid.
Theorem 939 is not valid.
Theorem 940 is not valid.
Theorem 941 is not valid.
Theorem 942 is not valid.
Theorem 943 is not valid.
Theorem 944 is not valid.
Theorem 945 is not valid.
Theorem 946 is not valid.
Theorem 947 is not valid.
Theorem 948 is not valid.
Theorem 949 is valid.
Theorem 950 is not valid.
Theorem 951 is not valid.
Theorem 952 is not valid.
Theorem 953 is not valid.
Theorem 954 is valid.
Theorem 955 is not valid.
Theorem 956 is not valid.
Theorem 957 is not valid.
Theorem 958 is not valid.
Theorem 959 is not valid.
Theorem 960 is not valid.
Theorem 961 is not valid.
Theorem 962 is not valid.
Theorem 963 is not valid.
Theorem 964 is not valid.
Theorem 965 is not valid.
Theorem 966 is not valid.
Theorem 967 is valid.
Theorem 968 is not valid.
Theorem 969 is not valid.
Theorem 970 is not valid.
Theorem 971 is not valid.
Theorem 972 is not valid.
Theorem 973 is not valid.
Theorem 974 is not valid.
Theorem 975 is not valid.
Theorem 976 is not valid.
Theorem 977 is valid.
Theorem 978 is not valid.
Theorem 979 is not valid.
Theorem 980 is not valid.
Theorem 981 is not valid.
Theorem 982 is not valid.
Theorem 983 is not valid.
Theorem 984 is not valid.
Theorem 985 is not valid.
Theorem 986 is not valid.
Theorem 987 is valid.
Theorem 988 is not valid.
Theorem 989 is not valid.
Theorem 990 is not valid.
Theorem 991 is not valid.
Theorem 992 is not valid.
Theorem 993 is not valid.
Theorem 994 is not valid.
Theorem 995 is not valid.
Theorem 996 is not valid.
Theorem 997 is not valid.
Theorem 998 is valid.
Theorem 999 is not valid.
Theorem 1000 is not valid.
